Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
M,298.9,308.9,1727,27.1,37,0
L,299.1,309,1450,43,40,0
L,299,308.9,1622,31.9,42,0
M,299,309,1351,52.2,44,0
M,299,309,1575,35.3,47,0
M,298.9,308.9,1750,29.9,50,0
L,298.9,308.8,1529,32.7,53,0
L,298.8,308.8,1523,44.4,55,0
L,298.8,308.9,1852,25,57,0
L,298.8,308.8,1991,20.7,59,0
L,298.8,308.8,1555,40.6,61,0
M,298.8,308.8,1441,40.5,63,0
L,298.8,308.7,1450,43.4,66,0
L,298.8,308.7,1591,31.1,68,0
L,298.8,308.7,1445,48.5,70,0
M,298.8,308.8,1497,46.8,72,0
H,298.9,308.8,1621,32.7,75,0
L,298.9,308.7,1572,34.1,80,0
L,298.8,308.6,1872,22.5,82,0
H,298.7,308.6,1499,43.5,84,0
M,298.8,308.7,1498,39.5,89,0
M,298.8,308.6,1486,41.9,92,0
L,298.8,308.6,1680,29.4,95,0
L,298.8,308.6,1431,45.7,97,0
L,298.9,308.7,1564,34.1,99,0
L,298.8,308.6,1599,33,101,0
M,298.8,308.6,1707,28.1,103,0
L,298.7,308.5,1467,40.7,106,0
L,298.9,308.7,1433,44.7,108,0
L,298.9,308.7,1558,41.2,110,0
L,299,308.8,1310,50.7,112,0
L,298.9,308.7,1546,43.4,114,0
L,298.9,308.7,1727,29.4,116,0
L,298.9,308.6,1560,32.2,118,0
L,299,308.6,1329,60.5,120,0
L,298.9,308.6,1413,46.5,122,0
L,299,308.6,1587,38.6,124,0
L,298.9,308.5,1559,34.3,126,0
L,298.8,308.4,1473,41.1,128,0
L,298.8,308.4,1737,27.7,130,0
M,298.7,308.4,1441,43.2,132,0
M,298.7,308.4,1430,49.6,135,0
L,298.8,308.4,1369,53,138,0
M,298.8,308.5,1711,28.5,140,0
H,298.7,308.5,1420,45.7,143,0
L,298.7,308.6,1297,55.3,148,0
H,298.8,308.6,1449,49.4,150,0
L,298.8,308.6,1268,55.8,155,0
L,298.8,308.6,1511,36.1,157,0
L,298.7,308.5,1544,35.2,159,0
M,298.6,308.4,1778,28.2,161,0
H,298.6,308.4,1407,50.5,164,0
M,298.6,308.4,1391,42.4,169,0
L,298.5,308.4,1513,33.6,172,0
H,298.5,308.4,1612,36.1,174,0
L,298.4,308.4,1515,40.1,179,0
M,298.3,308.3,1379,48,181,0
L,298.4,308.3,1473,39.9,184,0
L,298.4,308.3,1422,42.7,186,0
M,298.4,308.2,1463,37.6,188,0
M,298.4,308.2,1584,41,191,0
L,298.4,308.2,1850,27,194,0
L,298.4,308.2,1528,36.2,196,0
H,298.4,308.2,1987,19.8,198,0
M,298.4,308.1,1495,46,203,0
H,298.4,308.2,1478,43.5,206,0
M,298.4,308.2,1499,40,211,0
L,298.4,308.2,1471,47,214,0
L,298.4,308.2,1282,60.7,216,1
L,298.3,308.1,1412,52.3,218,1
L,298.3,308.1,1586,35.5,0,0
M,298.4,308.2,1468,43.8,2,0
M,298.5,308.3,1440,43.6,5,0
L,298.5,308.4,1733,26,8,0
H,298.4,308.2,1612,32.6,10,0
H,298.4,308.3,1458,42.9,15,0
L,298.4,308.3,1433,62.3,20,1
L,298.4,308.3,1318,59.1,22,0
M,298.4,308.2,1610,35,24,0
L,298.2,308.1,1462,50.8,27,0
M,298.1,308,1924,20.8,29,0
M,298.2,308,1591,33.7,32,0
L,298.2,308.1,1306,58.3,35,0
L,298.2,308.1,1382,43.5,37,0
L,298.2,308.1,1618,34.7,39,0
L,298.2,308.2,1988,21.4,41,0
L,298.2,308.2,1436,50.2,43,0
L,298.2,308.3,1304,49.8,45,0
L,298.2,308.3,1475,49.9,47,0
H,298.2,308.3,1824,24.2,49,0
M,298.1,308.2,1342,48.1,54,0
L,298.1,308.2,1485,40.7,57,0
L,298.2,308.2,1667,30.6,59,0
L,298.2,308.2,1446,38.2,61,0
L,298.1,308.3,1301,56,63,0
L,298.2,308.4,1379,43.1,65,0
L,298.3,308.5,1606,33.6,67,0
M,298.3,308.4,1539,43.4,69,0
L,298.2,308.4,1477,49.9,72,0
L,298.2,308.4,1666,34.6,74,0
H,298.2,308.4,1398,51.8,76,0
H,298.2,308.4,1678,34.6,81,0
M,298.2,308.5,2678,10.7,86,1
L,298.3,308.5,1453,42.9,89,0
H,298.3,308.6,1432,49.5,91,0
M,298.4,308.6,1527,40.9,96,0
L,298.4,308.7,1588,35,99,0
L,298.4,308.6,1433,47.1,101,0
L,298.4,308.6,1609,35,103,0
L,298.3,308.5,1575,41.2,105,0
M,298.4,308.5,1636,35.7,107,0
L,298.4,308.5,1490,37.9,110,0
L,298.4,308.5,1741,32.8,112,0
M,298.5,308.6,1344,53,114,0
L,298.5,308.7,1609,35.3,117,0
M,298.4,308.7,1421,60.7,119,1
L,298.4,308.6,1591,36.7,122,0
L,298.4,308.6,1477,44,124,0
L,298.4,308.7,1523,36.1,126,0
L,298.5,308.7,1575,33.9,128,0
H,298.4,308.7,1344,52.9,130,0
L,298.4,308.7,1386,44.9,135,0
M,298.3,308.6,1589,37.1,137,0
L,298.3,308.6,1548,40.3,140,0
L,298.3,308.6,1499,38.3,142,0
L,298.3,308.5,1664,31.6,144,0
L,298.3,308.6,1447,38.1,146,0
M,298.3,308.5,1434,46.2,148,0
L,298.3,308.5,1416,52.7,151,0
H,298.4,308.5,1827,24.3,153,0
L,298.4,308.6,1304,45,158,0
L,298.4,308.6,1569,34.4,160,0
L,298.3,308.6,1584,29.3,162,0
L,298.3,308.5,1362,53.8,164,0
L,298.3,308.4,1329,49.2,166,0
L,298.3,308.5,1539,36.1,168,0
M,298.3,308.5,1629,37.1,170,0
L,298.3,308.5,1538,32.2,173,0
L,298.3,308.6,1570,34.8,175,0
L,298.3,308.4,1408,43.1,177,0
L,298.2,308.4,1424,47.6,179,0
L,298.2,308.4,1512,34.9,181,0
L,298.2,308.4,1478,42.9,183,0
M,298.1,308.3,1680,33.7,185,0
L,298.1,308.3,1495,38.7,188,0
M,298,308.1,1552,36.6,190,0
L,297.9,308.1,1393,50.3,193,0
L,298,308.2,1611,30.6,195,0
M,298,308.1,1339,51.6,197,0
L,298,308.1,1777,24.3,200,0
L,298,308.2,1348,58.8,202,1
L,298,308.2,1442,44.1,204,0
M,298,308.2,1395,49.1,206,0
M,297.9,308.1,1627,31.4,209,0
L,297.9,308.1,1585,33.5,212,0
L,298,308.2,1469,45.5,214,0
L,298,308.3,1362,56.8,216,1
L,298,308.3,1405,56.2,218,1
L,298,308.3,1662,32.7,0,0
M,298,308.2,1466,42.6,2,0
L,298,308.2,1620,35.8,5,0
L,298,308.2,1357,48.2,7,0
L,298,308.2,1514,37.9,9,0
L,298,308.2,1489,40.4,11,0
L,298.1,308.3,1331,63,13,0
L,298,308,1615,29.5,15,0
L,298.1,308.2,1482,37.9,17,0
M,298.1,308.2,1420,63.9,19,1
M,298.2,308.3,1522,49.1,22,0
L,298.1,308.2,1654,32.1,25,0
M,298.1,308.2,1736,26.8,27,0
M,298,308.1,1587,32.3,30,0
L,298.1,308.2,1390,47.5,33,0
L,298,308.1,1454,37.1,35,0
H,298,308.1,1440,43.7,37,0
L,297.9,308,1954,21.1,42,0
H,297.9,308,1800,24.8,44,0
L,298,308,1524,37,49,0
H,298,308,1520,39.6,51,0
M,298.1,308.1,1452,40.8,56,0
L,298.1,308.1,1484,40.4,59,0
L,298.1,308,1426,46,61,0
L,298.1,308,1652,28.5,63,0
L,298,308,1401,54.7,65,0
M,298,307.9,1750,26.6,67,0
H,298,308,1479,50.7,70,0
M,298,308,1620,29.4,75,0
L,298,308.1,1819,23.4,78,0
M,298.1,308.1,1456,43.7,80,0
L,298.1,308,1626,36.5,83,0
M,298.1,308.1,1390,49.8,85,0
L,298.2,308.2,1469,43,88,0
L,298.2,308.3,2051,19.2,90,0
L,298.2,308.3,1568,36,92,0
L,298.2,308.3,1589,33.2,94,0
L,298.2,308.3,1805,31.6,96,0
H,298.2,308.4,1385,42.2,98,0
L,298.1,308.4,1436,46.7,103,0
L,298.1,308.4,1438,45.6,105,0
L,298,308.3,1473,42.6,107,0
L,298.1,308.4,1335,40.2,109,0
H,298.1,308.5,1392,44.8,111,0
M,298.1,308.5,1372,51.1,116,0
M,298.1,308.6,1716,30.7,119,0
L,298,308.5,1395,46.2,122,0
L,298,308.5,1713,25.3,124,0
H,297.9,308.5,2129,18.7,126,0
M,297.8,308.3,1567,35.6,131,0
L,297.8,308.4,1622,38.3,134,0
L,297.7,308.4,1740,27.1,136,0
H,297.8,308.4,1512,35.1,138,0
M,297.8,308.4,1479,43.5,143,0
L,297.8,308.4,1737,27.5,146,0
L,297.8,308.4,2129,19.2,148,0
L,297.8,308.4,1374,47.1,150,0
M,297.8,308.4,1579,36.6,152,0
L,297.9,308.5,1305,47.2,155,0
M,297.9,308.5,1449,40.8,157,0
H,298,308.6,1526,41.8,160,0
M,298,308.6,1453,44.1,165,0
L,297.9,308.6,1468,36,168,0
L,298,308.6,1313,50.8,170,0
M,297.9,308.5,1300,53,172,0
L,297.9,308.4,1646,40.6,175,0
L,297.8,308.4,1714,33.2,177,0
L,297.8,308.4,1685,28.4,179,0
L,297.8,308.4,1512,39.9,181,0
L,297.8,308.4,1612,32.1,183,0
H,297.8,308.4,1550,38.2,185,0
L,297.8,308.4,1518,32.5,190,0
L,297.8,308.5,1448,40,192,0
L,297.8,308.5,1561,46.3,194,0
M,297.8,308.5,1488,41.9,196,0
L,297.8,308.5,1699,27.8,199,0
L,297.7,308.5,1501,41.4,201,0
L,297.7,308.5,1373,56.7,203,1
H,297.6,308.4,1703,31.4,205,0
H,297.7,308.5,1720,29.9,210,0
M,297.6,308.4,1398,41.9,215,0
M,297.6,308.4,1391,51.9,218,0
M,297.6,308.3,1538,40.2,0,0
L,297.5,308.2,1647,31.3,3,0
M,297.5,308.1,1469,44.8,5,0
L,297.4,308.1,1749,25.9,8,0
M,297.6,308.2,1995,20.5,10,0
L,297.6,308.3,1742,27.7,13,0
L,297.5,308.2,1563,38.2,15,0
M,297.5,308.2,1713,32.2,17,0
L,297.4,308.1,1474,39.4,20,0
M,297.4,308.2,1530,32.6,22,0
L,297.4,308.2,1471,46.5,25,0
L,297.5,308.3,1388,48.6,27,0
M,297.5,308.2,2448,13.8,29,0
L,297.5,308.3,1585,32.9,32,0
M,297.5,308.3,1459,45.2,34,0
L,297.5,308.3,1544,40.8,37,0
L,297.6,308.3,1617,31.7,39,0
L,297.6,308.3,1595,34.3,41,0
H,297.6,308.3,1400,44.3,43,0
M,297.6,308.4,1611,31,48,0
M,297.6,308.4,1507,46,51,0
H,297.5,308.3,1674,30,54,0
L,297.6,308.3,1658,34.3,59,0
L,297.6,308.3,1623,36.9,61,0
M,297.6,308.4,1398,48.9,63,0
L,297.6,308.4,1517,34.2,66,0
M,297.6,308.3,1467,36.7,68,0
M,297.6,308.3,1567,34.6,71,0
M,297.5,308.3,1521,38.2,74,0
L,297.5,308.3,1596,36.8,77,0
H,297.6,308.3,1640,30.9,79,0
L,297.6,308.3,1438,47.8,84,0
L,297.6,308.4,1407,55.2,86,0
L,297.6,308.4,1353,57.5,88,0
M,297.6,308.5,1552,40.9,90,0
M,297.6,308.4,1569,38.3,93,0
L,297.5,308.4,1489,39.5,96,0
H,297.5,308.4,1587,36.1,98,0
M,297.5,308.3,1622,37.2,103,0
L,297.5,308.4,1604,38.1,106,0
M,297.4,308.3,1405,51.7,108,0
L,297.4,308.3,1412,42,111,0
L,297.4,308.3,1431,43,113,0
L,297.4,308.2,1533,37.4,115,0
M,297.4,308.2,1401,51.9,117,0
M,297.4,308.2,1424,53.9,120,0
L,297.3,308.2,1754,29.4,123,0
L,297.3,308.2,1754,26.8,125,0
L,297.5,308.3,2564,12.8,127,1
L,297.5,308.5,1546,40.4,129,0
L,297.5,308.5,1335,48,131,0
M,297.5,308.6,1842,27,133,0
L,297.5,308.5,1712,26.8,136,0
M,297.6,308.6,1414,45.4,138,0
L,297.6,308.7,1319,50.9,141,0
L,297.7,308.7,1249,60.4,143,0
L,297.6,308.7,1455,48.2,145,0
M,297.6,308.7,1408,54.8,147,0
L,297.6,308.7,1460,46.7,150,0
L,297.6,308.6,1491,38.1,152,0
M,297.6,308.5,1490,43.4,154,0
M,297.5,308.4,1350,52.2,157,0
L,297.5,308.4,1528,39.9,160,0
L,297.4,308.3,1571,37.7,162,0
L,297.4,308.3,1490,42.6,164,0
M,297.4,308.3,1774,28.9,166,0
H,297.4,308.3,1502,43.6,169,0
L,297.4,308.4,1392,49.7,174,0
L,297.4,308.5,2100,16.9,176,0
L,297.5,308.5,1722,30.4,178,0
L,297.4,308.6,1678,32.3,180,0
L,297.3,308.6,1273,59.8,182,0
L,297.3,308.6,1297,45.9,184,0
L,297.3,308.5,1350,57.6,186,0
L,297.4,308.6,1439,51.9,188,0
M,297.4,308.5,1600,42.1,190,0
M,297.4,308.6,1434,44.4,193,0
L,297.4,308.6,1459,41.3,196,0
M,297.5,308.6,1472,44.9,198,0
L,297.5,308.7,1429,44.3,201,0
L,297.5,308.6,1388,48.2,203,0
L,297.4,308.4,1573,34.5,205,0
L,297.4,308.4,1588,32.5,207,0
L,297.5,308.4,1511,42.8,209,0
L,297.4,308.5,1495,37.8,211,0
L,297.4,308.4,1394,50.1,213,0
L,297.4,308.4,2151,17.7,0,0
M,297.3,308.3,1501,38.2,2,0
M,297.3,308.3,1301,39.6,5,0
M,297.3,308.3,1657,31.1,8,0
L,297.3,308.3,1333,55.2,11,0
L,297.3,308.3,1484,43.9,13,0
L,297.3,308.4,1430,45.7,15,0
M,297.3,308.4,1665,28.9,17,0
L,297.4,308.5,1501,44.9,20,0
M,297.5,308.5,1496,42.2,22,0
M,297.6,308.6,1595,36.9,25,0
L,297.5,308.6,1208,62.3,28,0
L,297.5,308.6,1596,37.1,30,0
L,297.5,308.5,1446,41.9,32,0
M,297.6,308.5,1466,39.7,34,0
M,297.6,308.5,1848,23.7,37,0
M,297.5,308.5,1484,44.7,40,0
L,297.4,308.3,1493,41.2,43,0
L,297.3,308.3,1504,36.3,45,0
L,297.3,308.3,1538,38.5,47,0
L,297.4,308.4,1341,52.2,49,0
M,297.4,308.3,1535,34.6,51,0
L,297.4,308.5,1389,39.2,54,0
H,297.5,308.5,1393,46.6,56,0
L,297.4,308.5,1399,61.5,61,1
H,297.4,308.5,1469,45.1,63,0
L,297.4,308.4,1582,37.2,68,0
L,297.5,308.6,1793,26.7,70,0
L,297.5,308.6,1452,39,72,0
M,297.6,308.7,1376,59.9,74,0
L,297.5,308.6,1552,44.9,77,0
L,297.6,308.7,1622,37.9,79,0
M,297.6,308.7,1419,41.7,81,0
H,297.5,308.6,1440,46.1,84,0
M,297.4,308.6,1643,31,89,0
L,297.4,308.7,1510,36.2,92,0
L,297.4,308.7,1468,46.6,94,0
L,297.4,308.7,1429,57.4,96,0
H,297.3,308.7,1478,47.6,98,0
L,297.4,308.6,1276,53.6,103,0
L,297.3,308.6,1486,42.6,105,0
L,297.4,308.6,1476,42.3,107,0
H,297.3,308.6,1431,42,109,0
L,297.4,308.7,1402,40.2,114,0
L,297.4,308.7,1433,43.4,116,0
L,297.4,308.7,2874,4.2,118,1
L,297.3,308.6,1511,35.7,120,0
M,297.3,308.6,1456,42.9,122,0
L,297.2,308.5,1550,41.5,125,0
L,297.2,308.5,2182,16.5,127,0
L,297.3,308.7,1619,31.6,129,0
M,297.3,308.8,1586,32.7,131,0
H,297.3,308.8,1499,44.2,134,0
H,297.3,308.8,1419,42.4,139,0
M,297.4,309,1497,41.8,144,0
M,297.4,309,1520,37,147,0
L,297.4,309.1,1478,49.8,150,0
L,297.4,309.1,1380,41.1,152,0
L,297.4,309,1570,37.9,154,0
H,297.4,309,1468,41.4,156,0
L,297.4,309,1833,22.6,161,0
M,297.4,308.9,1323,57.3,163,0
L,297.4,309,1583,32,166,0
M,297.3,309,1556,39.5,168,0
L,297.3,309,1548,37.4,171,0
L,297.4,309,1324,56.9,173,0
L,297.4,309,1568,33.7,175,0
M,297.4,309,1685,30.7,177,0
M,297.4,309.1,1582,35.9,180,0
M,297.4,309.1,1463,35,183,0
L,297.4,309.2,1584,42.8,186,0
M,297.5,309.2,1347,55.8,188,0
L,297.4,309.2,1459,37.9,191,0
L,297.4,309.2,1420,45.6,193,0
L,297.5,309.3,1404,43.5,195,0
L,297.5,309.3,1470,38.8,197,0
L,297.6,309.4,1326,49.8,199,0
H,297.5,309.3,1459,49.7,201,0
M,297.5,309.2,1530,40,206,0
L,297.4,309,1505,39.2,209,0
L,297.5,309.1,1611,30.2,211,0
L,297.5,309.1,1515,35.1,213,0
M,297.5,309.2,1804,27.4,215,0
M,297.6,309.3,1464,46.2,218,0
L,297.6,309.2,1390,43.3,221,0
M,297.6,309.2,1442,48.1,0,0
M,297.6,309.3,1529,41.9,3,0
L,297.6,309.3,1610,35,6,0
L,297.6,309.3,1543,34.3,8,0
H,297.8,309.4,1445,48.2,10,0
L,297.7,309.3,1893,24.6,15,0
M,297.6,309.3,1415,41.3,17,0
L,297.5,309.3,1564,37.5,20,0
L,297.5,309.3,1479,39.4,22,0
L,297.5,309.2,1426,44.8,24,0
L,297.4,309.2,1428,38.8,26,0
L,297.4,309.2,1620,33.2,28,0
L,297.5,309.2,1715,28,30,0
L,297.5,309.3,1732,29.9,32,0
M,297.5,309.4,1391,58.2,34,0
L,297.6,309.5,1924,20.6,37,0
M,297.7,309.5,2027,19.8,39,0
L,297.6,309.5,1617,36.2,42,0
L,297.5,309.4,1497,35.8,44,0
M,297.5,309.5,1448,43.7,46,0
L,297.4,309.4,1401,45.9,49,0
L,297.4,309.4,1620,35.4,51,0
L,297.4,309.4,1466,45.5,53,0
L,297.6,309.5,1373,50.6,55,0
M,297.6,309.6,1592,35.8,57,0
M,297.5,309.5,1553,42.4,60,0
L,297.6,309.5,1569,36.2,63,0
M,297.6,309.5,1709,32.2,65,0
L,297.6,309.5,1549,34.9,68,0
L,297.5,309.4,1443,45.4,70,0
L,297.5,309.3,1675,29.8,72,0
L,297.5,309.3,1623,33.4,74,0
H,297.4,309.3,1365,52.4,76,0
L,297.4,309.3,1759,24.8,81,0
H,297.4,309.3,1516,43,83,0
M,297.4,309.3,1499,36.8,88,0
M,297.4,309.3,1775,25.8,91,0
L,297.4,309.4,1473,45.5,94,0
L,297.4,309.4,1296,52.3,96,0
L,297.5,309.4,1803,24.7,98,0
H,297.5,309.3,1563,36.1,100,0
M,297.5,309.4,1831,26.6,105,0
L,297.6,309.4,1958,22.1,108,0
L,297.5,309.4,1809,24.3,110,0
M,297.5,309.4,1482,39.3,112,0
L,297.4,309.3,1332,53.2,115,0
L,297.4,309.2,1437,40.4,117,0
L,297.4,309.2,1698,29.4,119,0
L,297.4,309.2,1274,54.3,121,0
M,297.4,309.3,1622,35,123,0
M,297.4,309.3,1564,36,126,0
H,297.5,309.4,1368,45.3,129,0
M,297.4,309.4,1539,42.2,134,0
L,297.5,309.4,1357,50.1,137,0
M,297.5,309.4,1433,48.3,139,0
L,297.5,309.4,1650,34.6,142,0
L,297.5,309.4,1503,40.6,144,0
L,297.5,309.4,1318,58.2,146,0
M,297.5,309.4,1678,34.4,148,0
L,297.6,309.5,1574,30.9,151,0
L,297.7,309.6,1529,35.2,153,0
H,297.6,309.6,1669,32.1,155,0
H,297.7,309.7,1570,35.8,160,0
M,297.6,309.7,1541,33.7,165,0
M,297.7,309.7,1680,30.2,168,0
L,297.8,309.7,1935,22.1,171,0
M,297.7,309.6,1596,35.2,173,0
L,297.7,309.7,1498,41,176,0
M,297.8,309.8,1676,29,178,0
L,297.8,309.9,1351,49,181,0
L,297.9,309.9,1472,45,183,0
M,297.9,310,1439,41.7,185,0
M,297.9,309.9,1410,55.4,188,0
H,297.7,309.7,1440,51.1,191,0
L,297.7,309.7,1591,37.7,196,0
L,297.8,309.8,1533,36.8,198,0
M,297.8,309.7,1700,31.3,200,0
M,297.8,309.8,1798,25.5,203,0
L,297.8,309.7,1394,42.9,206,0
L,297.8,309.7,1341,49.2,208,0
H,297.7,309.6,1697,32.2,210,0
H,297.6,309.6,1419,48.2,215,0
L,297.6,309.5,2001,20.5,220,0
L,297.6,309.6,1501,49.8,222,1
H,297.6,309.5,1623,33.1,224,0
L,297.6,309.4,1628,33.4,229,0
L,297.6,309.4,1491,40.2,231,0
L,297.5,309.4,1517,36.7,233,0
H,297.5,309.3,1525,41.7,235,0
H,297.5,309.5,1668,27.9,240,0
L,297.5,309.6,1312,50.7,0,0
H,297.6,309.6,1278,50.4,2,0
M,297.6,309.6,1330,53.1,7,0
M,297.6,309.6,1530,37.3,10,0
H,297.6,309.6,1428,46.6,13,0
L,297.7,309.6,1480,47.9,18,0
H,297.7,309.7,1616,31.1,20,0
L,297.8,309.7,1547,37.3,25,0
L,297.9,309.7,2194,16.8,27,0
L,297.9,309.8,2000,21.3,29,0
L,297.9,309.8,1336,71.6,31,1
L,297.9,309.9,1542,33.8,33,0
M,297.9,309.8,1693,29.9,35,0
L,297.9,309.8,1461,50.5,38,0
M,298,309.9,1565,33.9,40,0
L,298,309.9,1403,47.7,43,0
L,298.1,309.9,1629,32.5,45,0
L,298.1,310,1534,33.7,47,0
L,298.1,310,1553,40.9,49,0
L,298.1,309.9,1563,32.8,51,0
L,298.1,309.9,1634,30,53,0
M,298,309.9,1445,45.2,55,0
L,298.1,309.9,1642,30.4,58,0
H,298.1,309.9,1686,29.1,60,0
M,298.1,310,1393,43.1,65,0
H,298.2,310,1433,44.2,68,0
L,298.3,310,1507,44.7,73,0
M,298.3,310.1,1389,49.6,75,0
L,298.3,310.1,1408,45.3,78,0
M,298.4,310.2,1725,32,80,0
L,298.4,310.1,1926,23.7,83,0
H,298.3,310.1,1509,37.6,85,0
L,298.3,310.1,1545,36.3,90,0
L,298.4,310.1,1533,35.2,92,0
L,298.4,310.1,1455,42.2,94,0
M,298.4,310.1,1335,57.8,96,0
L,298.3,310.1,1523,45.9,99,0
L,298.3,310,1460,47.6,101,0
L,298.4,310,1554,37.3,103,0
H,298.3,310,1419,47.1,105,0
L,298.3,310,1442,43.9,110,0
L,298.3,309.9,1507,41.6,112,0
L,298.3,310,1858,23.9,114,0
L,298.3,309.9,1463,43.9,116,0
L,298.2,309.7,1585,37.4,118,0
L,298,309.6,1536,37.3,120,0
L,298,309.6,1403,51.3,122,0
M,297.9,309.6,1515,38.8,124,0
L,297.9,309.5,1390,47.9,127,0
M,297.8,309.4,1226,58.7,129,0
M,297.8,309.4,1495,36.5,132,0
H,297.7,309.4,1608,30.2,135,0
L,297.7,309.4,1392,44.1,140,0
M,297.7,309.4,1461,43.7,142,0
L,297.7,309.3,1559,36.9,145,0
H,297.7,309.3,1400,48.9,147,0
M,297.7,309.2,1732,28.8,152,0
L,297.6,309.2,1611,33.1,155,0
L,297.6,309.1,1503,38.9,157,0
L,297.7,309.2,1391,44.5,159,0
L,297.8,309.3,2015,20.1,161,0
L,297.8,309.2,1683,30.9,163,0
L,297.7,309.1,1435,38.8,165,0
M,297.7,309.1,1732,28.1,167,0
L,297.7,309.2,1365,58.6,170,0
L,297.7,309.1,1562,36.8,172,0
L,297.6,309.1,1449,49.1,174,0
M,297.7,309.2,1700,27.4,176,0
M,297.6,309,1427,45.6,179,0
M,297.6,308.9,1479,38.1,182,0
L,297.5,308.9,1469,44,185,0
L,297.5,308.9,1390,47.4,187,0
L,297.5,308.9,1729,28.1,189,0
L,297.5,309,1470,43.5,191,0
L,297.5,308.9,1459,48.5,193,0
L,297.5,308.9,1738,24,195,0
H,297.5,308.9,1471,37.7,197,0
L,297.6,309,1822,25.4,202,0
L,297.5,308.9,1554,34.8,204,0
M,297.6,308.9,1433,43.2,206,0
L,297.6,308.9,1449,47.7,209,0
L,297.8,309,1456,41.2,0,0
M,297.8,309.1,1424,45.5,2,0
H,297.9,309.2,1577,34.7,5,0
L,297.9,309.2,1478,39.7,10,0
